text,job_role,candidate_category
"python flask rest api sql docker aws testing git","Backend Developer","Experienced"
"react javascript typescript css html redux vite","Frontend Developer","Experienced"
"python pandas numpy scikit-learn machine learning nlp","Data Scientist","Experienced"
"excel sql powerbi tableau reporting dashboard","Data Analyst","Fresher"
"java spring boot microservices kafka docker kubernetes","Backend Developer","Experienced"
"html css javascript bootstrap responsive design","Frontend Developer","Fresher"
"deep learning pytorch tensorflow nlp computer vision","ML Engineer","Experienced"
"statistics hypothesis testing python visualization","Data Analyst","Experienced"
"react node express mongodb api authentication","Full Stack Developer","Experienced"
"c c++ dsa oop problem solving competitive programming","Software Engineer","Fresher"
"manual testing selenium jira test cases bug tracking","QA Engineer","Fresher"
"devops ci cd jenkins docker kubernetes linux","DevOps Engineer","Experienced"
"python django rest api postgresql unit testing","Backend Developer","Fresher"
"react tailwind hooks components state management","Frontend Developer","Fresher"
"sql etl data warehouse spark airflow","Data Engineer","Experienced"
"python machine learning feature engineering model tuning","ML Engineer","Fresher"
"communication teamwork leadership stakeholder management","Business Analyst","Fresher"
"requirement gathering documentation process mapping","Business Analyst","Experienced"
"git github cicd code review clean architecture","Software Engineer","Experienced"
"network security firewall incident response siem","Cybersecurity Analyst","Experienced"
